filename,property,depth,filetype,scalar,description,units
ph1to1h2o_150_cm_l.tif,ph1to1h2o,150_cm,95% low prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_150_cm_p.tif,ph1to1h2o,150_cm,prediction,100,pH (1:1 method),-log10([H+])
ph1to1h2o_150_cm_rpi.tif,ph1to1h2o,150_cm,relative prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_30_cm_h.tif,ph1to1h2o,30_cm,95% high prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_30_cm_l.tif,ph1to1h2o,30_cm,95% low prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_30_cm_p.tif,ph1to1h2o,30_cm,prediction,100,pH (1:1 method),-log10([H+])
ph1to1h2o_30_cm_rpi.tif,ph1to1h2o,30_cm,relative prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_5_cm_h.tif,ph1to1h2o,5_cm,95% high prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_5_cm_l.tif,ph1to1h2o,5_cm,95% low prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_5_cm_p.tif,ph1to1h2o,5_cm,prediction,100,pH (1:1 method),-log10([H+])
ph1to1h2o_5_cm_rpi.tif,ph1to1h2o,5_cm,relative prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_60_cm_h.tif,ph1to1h2o,60_cm,95% high prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_60_cm_l.tif,ph1to1h2o,60_cm,95% low prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_60_cm_p.tif,ph1to1h2o,60_cm,prediction,100,pH (1:1 method),-log10([H+])
ph1to1h2o_60_cm_rpi.tif,ph1to1h2o,60_cm,relative prediction interval,100,pH (1:1 method),-log10([H+])
resdept_all_cm_h.tif,resdept,all_cm,95% high prediction interval,1,Depth to restriction,cm
resdept_all_cm_l.tif,resdept,all_cm,95% low prediction interval,1,Depth to restriction,cm
resdept_all_cm_p.tif,resdept,all_cm,prediction,1,Depth to restriction,cm
resdept_all_cm_rpi.tif,resdept,all_cm,relative prediction interval,100,Depth to restriction,cm
sandco_0_cm_h.tif,sandco,0_cm,95% high prediction interval,1,Coarse sand,percent mass
sandco_0_cm_l.tif,sandco,0_cm,95% low prediction interval,1,Coarse sand,percent mass
sandco_0_cm_p.tif,sandco,0_cm,prediction,1,Coarse sand,percent mass
